MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CH4,Mt CH4/yr,348.9808039,367.0240786,,241.9368987,,205.5693695,,190.5814737,,178.875376,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2,Mt CO2/yr,34492.04991,38321.77599,,35588.65749,,28531.67507,,20287.46001,,13367.27051,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,0,0,,0,,2563.111102,,6431.453344,,10005.47245,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737,33510.80591,,31158.831,,24939.72694,,18061.16255,,12451.06873,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand,Mt CO2/yr,16226.05004,18797.3321,,19249.16385,,17729.33299,,14305.00465,,10695.83438,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,6408.762993,7931.638093,,7917.084691,,6027.528155,,4963.003331,,5718.252963,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,2768.712937,2933.676825,,2921.439296,,3293.357097,,2261.110749,,352.4370451,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,6334.343748,7217.786815,,7681.1198,,7676.994351,,6349.12951,,3892.794222,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,12686.70206,14578.10855,,11774.30189,,7075.028686,,3620.792632,,1619.869087,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10168.56195,11846.65173,,9437.487256,,4860.099232,,3051.70834,,4477.152791,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Land Use,Mt CO2/yr,5443.932536,4810.970075,,4429.826492,,3591.948126,,2226.297463,,916.2017786,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|F-Gases,Mt CO2-equiv/yr,469.2425355,675.5798162,,776.8052235,,802.5284892,,664.6885961,,539.6936775,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,45262.65028,49877.52546,,44440,,36360,,27270,,19627.66667,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|N2O,kt N2O/yr,9589.551477,10234.40002,,9657.620681,,8738.192526,,7469.807884,,6336.514782,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-EERE,World,Emissions|CH4,Mt CH4/yr,348.9808039,367.0096335,,253.3528829,,201.747865,,185.3054287,,169.7001907,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-EERE,World,Emissions|CO2,Mt CO2/yr,34492.04991,38315.63026,,35318.77475,,28638.93325,,20457.35617,,13604.66834,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-EERE,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,0,0,,0,,0,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-EERE,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737,33504.66018,,30888.94826,,25046.98513,,18231.0587,,12688.46657,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-EERE,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand,Mt CO2/yr,16226.05004,18797.3321,,18332.61553,,17389.07512,,13714.50386,,10136.62573,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-EERE,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,6408.762993,7931.638093,,7643.383863,,6924.677961,,6791.941569,,6076.913851,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-EERE,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,2768.712937,2933.676825,,2677.798024,,2853.977207,,2711.095025,,2189.717848,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-EERE,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,6334.343748,7217.786815,,7313.876348,,6939.527681,,3567.994564,,1254.215385,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-EERE,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,12686.70206,14571.96281,,12420.96746,,7522.544735,,4381.189577,,2416.475568,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-EERE,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10168.56195,11840.65032,,10154.73725,,5406.403976,,2755.800749,,1130.764926,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-EERE,World,Emissions|CO2|Land Use,Mt CO2/yr,5443.932536,4810.970075,,4429.826492,,3591.948126,,2226.297463,,916.2017786,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-EERE,World,Emissions|F-Gases,Mt CO2-equiv/yr,469.2425355,675.5798162,,785.0791747,,802.5301567,,664.6941967,,539.6936775,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-EERE,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,45262.65028,49870.94694,,44440,,36360,,27270,,19627.66667,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-EERE,World,Emissions|N2O,kt N2O/yr,9589.551477,10233.98247,,9728.179136,,8651.069117,,7279.147204,,6192.260128,,,,,,,,,,
