Model,Scenario,Region,Variable,Unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
IMAGE,rcp26,World,Emissions|BC,Mt BC/yr,8.5025,8.4784,8.4543,8.4302,8.4061,8.382,8.23806,8.09412,7.95018,7.80624,7.6623,7.51836,7.37442,7.23048,7.08654,6.9426,6.81693,6.69126,6.56559,6.43992,6.31425,6.18858,6.06291,5.93724,5.81157,5.6859,5.61136,5.53682,5.46228,5.38774,5.3132,5.23866,5.16412,5.08958,5.01504,4.9405,4.88943,4.83836,4.78729,4.73622,4.68515,4.63408,4.58301,4.53194,4.48087,4.4298,4.38112,4.33244,4.28376,4.23508,4.1864,4.13772,4.08904,4.04036,3.99168,3.943,3.91608,3.88916,3.86224,3.83532,3.8084,3.78148,3.75456,3.72764,3.70072,3.6738,3.66094,3.64808,3.63522,3.62236,3.6095,3.59664,3.58378,3.57092,3.55806,3.5452,3.52646,3.50772,3.48898,3.47024,3.4515,3.43276,3.41402,3.39528,3.37654,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578,3.3578
IMAGE,rcp26,World,Emissions|CH4,Mt CH4/yr,296.6954,288.7099,280.7244,272.7389,264.7534,256.7679,254.65433,252.54076,250.42719,248.31362,246.20005,244.08648,241.97291,239.85934,237.74577,235.6322,234.57183,233.51146,232.45109,231.39072,230.33035,229.26998,228.20961,227.14924,226.08887,225.0285,221.45546,217.88242,214.30938,210.73634,207.1633,203.59026,200.01722,196.44418,192.87114,189.2981,187.01509,184.73208,182.44907,180.16606,177.88305,175.60004,173.31703,171.03402,168.75101,166.468,165.95204,165.43608,164.92012,164.40416,163.8882,163.37224,162.85628,162.34032,161.82436,161.3084,160.68516,160.06192,159.43868,158.81544,158.1922,157.56896,156.94572,156.32248,155.69924,155.076,154.41227,153.74854,153.08481,152.42108,151.75735,151.09362,150.42989,149.76616,149.10243,148.4387,147.8001,147.1615,146.5229,145.8843,145.2457,144.6071,143.9685,143.3299,142.6913,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527,142.0527
IMAGE,rcp26,World,Emissions|CO,Mt CO/yr,1006.7089,1001.8965,997.08402,992.27158,987.45914,982.6467,976.97887,971.31104,965.64321,959.97538,954.30755,948.63972,942.97189,937.30406,931.63623,925.9684,921.1656,916.3628,911.56,906.7572,901.9544,897.1516,892.3488,887.546,882.7432,877.9404,872.16763,866.39486,860.62209,854.84932,849.07655,843.30378,837.53101,831.75824,825.98547,820.2127,816.11031,812.00792,807.90553,803.80314,799.70075,795.59836,791.49597,787.39358,783.29119,779.1888,772.51907,765.84934,759.17961,752.50988,745.84015,739.17042,732.50069,725.83096,719.16123,712.4915,707.6157,702.7399,697.8641,692.9883,688.1125,683.2367,678.3609,673.4851,668.6093,663.7335,661.04504,658.35658,655.66812,652.97966,650.2912,647.60274,644.91428,642.22582,639.53736,636.8489,633.94839,631.04788,628.14737,625.24686,622.34635,619.44584,616.54533,613.64482,610.74431,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438,607.8438
IMAGE,rcp26,World,Emissions|CO2,Mt CO2/yr,36920.4,37060.68667,37200.97333,37341.26,37481.54667,37621.83333,36773.11,35924.38667,35075.66333,34226.94,33378.21667,32529.49333,31680.77,30832.04667,29983.32333,29134.6,28063.23667,26991.87333,25920.51,24849.14667,23777.78333,22706.42,21635.05667,20563.69333,19492.33,18420.96667,17820.69667,17220.42667,16620.15667,16019.88667,15419.61667,14819.34667,14219.07667,13618.80667,13018.53667,12418.26667,11922.38667,11426.50667,10930.62667,10434.74667,9938.866667,9442.986667,8947.106667,8451.226667,7955.346667,7459.466667,6953.283333,6447.1,5940.916667,5434.733333,4928.55,4422.366667,3916.183333,3410,2903.816667,2397.633333,2200.77,2003.906667,1807.043333,1610.18,1413.316667,1216.453333,1019.59,822.7266667,625.8633333,429,287.8333333,146.6666667,5.5,-135.6666667,-276.8333333,-418,-559.1666667,-700.3333333,-841.5,-982.6666667,-1038.216667,-1093.766667,-1149.316667,-1204.866667,-1260.416667,-1315.966667,-1371.516667,-1427.066667,-1482.616667,-1538.166667,-1613.157333,-1688.148,-1763.138667,-1838.129333,-1913.12,-1988.110667,-2063.101333,-2138.092,-2213.082667,-2288.073333,-2363.064,-2438.054667,-2513.045333,-2588.036,-2663.026667,-2738.017333,-2813.008,-2887.998667,-2962.989333,-3037.98,-3112.970667,-3187.961333,-3262.952,-3337.942667,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333
IMAGE,rcp26,World,Emissions|CO2|MAGICC AFOLU,Mt CO2/yr,3720.383333,3689.693333,3659.003333,3628.313333,3597.623333,3566.933333,3499.503333,3432.073333,3364.643333,3297.213333,3229.783333,3162.353333,3094.923333,3027.493333,2960.063333,2892.633333,2782.67,2672.706667,2562.743333,2452.78,2342.816667,2232.853333,2122.89,2012.926667,1902.963333,1793,1687.473333,1581.946667,1476.42,1370.893333,1265.366667,1159.84,1054.313333,948.7866667,843.26,737.7333333,889.5333333,1041.333333,1193.133333,1344.933333,1496.733333,1648.533333,1800.333333,1952.133333,2103.933333,2255.733333,2227.5,2199.266667,2171.033333,2142.8,2114.566667,2086.333333,2058.1,2029.866667,2001.633333,1973.4,1977.726667,1982.053333,1986.38,1990.706667,1995.033333,1999.36,2003.686667,2008.013333,2012.34,2016.666667,2035.88,2055.093333,2074.306667,2093.52,2112.733333,2131.946667,2151.16,2170.373333,2189.586667,2208.8,2175.396667,2141.993333,2108.59,2075.186667,2041.783333,2008.38,1974.976667,1941.573333,1908.17,1874.766667,1799.776,1724.785333,1649.794667,1574.804,1499.813333,1424.822667,1349.832,1274.841333,1199.850667,1124.86,1049.869333,974.8786667,899.888,824.8973333,749.9066667,674.916,599.9253333,524.9346667,449.944,374.9533333,299.9626667,224.972,149.9813333,74.99066667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMAGE,rcp26,World,Emissions|CO2|MAGICC Fossil and Industrial,Mt CO2/yr,33200.01667,33370.99333,33541.97,33712.94667,33883.92333,34054.9,33273.60667,32492.31333,31711.02,30929.72667,30148.43333,29367.14,28585.84667,27804.55333,27023.26,26241.96667,25280.56667,24319.16667,23357.76667,22396.36667,21434.96667,20473.56667,19512.16667,18550.76667,17589.36667,16627.96667,16133.22333,15638.48,15143.73667,14648.99333,14154.25,13659.50667,13164.76333,12670.02,12175.27667,11680.53333,11032.85333,10385.17333,9737.493333,9089.813333,8442.133333,7794.453333,7146.773333,6499.093333,5851.413333,5203.733333,4725.783333,4247.833333,3769.883333,3291.933333,2813.983333,2336.033333,1858.083333,1380.133333,902.1833333,424.2333333,223.0433333,21.85333333,-179.3366667,-380.5266667,-581.7166667,-782.9066667,-984.0966667,-1185.286667,-1386.476667,-1587.666667,-1748.046667,-1908.426667,-2068.806667,-2229.186667,-2389.566667,-2549.946667,-2710.326667,-2870.706667,-3031.086667,-3191.466667,-3213.613333,-3235.76,-3257.906667,-3280.053333,-3302.2,-3324.346667,-3346.493333,-3368.64,-3390.786667,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333
IMAGE,rcp26,World,Emissions|F-Gases|HFC|HFC125,kt HFC125/yr,57.81385,64.12088,70.42791,76.73494,83.04197,89.349,91.30401,93.25902,95.21403,97.16904,99.12405,101.07906,103.03407,104.98908,106.94409,108.8991,110.50533,112.11156,113.71779,115.32402,116.93025,118.53648,120.14271,121.74894,123.35517,124.9614,124.37894,123.79648,123.21402,122.63156,122.0491,121.46664,120.88418,120.30172,119.71926,119.1368,121.10282,123.06884,125.03486,127.00088,128.9669,130.93292,132.89894,134.86496,136.83098,138.797,140.83553,142.87406,144.91259,146.95112,148.98965,151.02818,153.06671,155.10524,157.14377,159.1823,159.92094,160.65958,161.39822,162.13686,162.8755,163.61414,164.35278,165.09142,165.83006,166.5687,166.06747,165.56624,165.06501,164.56378,164.06255,163.56132,163.06009,162.55886,162.05763,161.5564,160.22213,158.88786,157.55359,156.21932,154.88505,153.55078,152.21651,150.88224,149.54797,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137,148.2137
IMAGE,rcp26,World,Emissions|F-Gases|HFC|HFC134a,kt HFC134a/yr,165.4609,167.14452,168.82814,170.51176,172.19538,173.879,175.90966,177.94032,179.97098,182.00164,184.0323,186.06296,188.09362,190.12428,192.15494,194.1856,196.04996,197.91432,199.77868,201.64304,203.5074,205.37176,207.23612,209.10048,210.96484,212.8292,211.38138,209.93356,208.48574,207.03792,205.5901,204.14228,202.69446,201.24664,199.79882,198.351,201.15158,203.95216,206.75274,209.55332,212.3539,215.15448,217.95506,220.75564,223.55622,226.3568,229.30577,232.25474,235.20371,238.15268,241.10165,244.05062,246.99959,249.94856,252.89753,255.8465,256.83185,257.8172,258.80255,259.7879,260.77325,261.7586,262.74395,263.7293,264.71465,265.7,264.8148,263.9296,263.0444,262.1592,261.274,260.3888,259.5036,258.6184,257.7332,256.848,254.70245,252.5569,250.41135,248.2658,246.12025,243.9747,241.82915,239.6836,237.53805,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925,235.3925
IMAGE,rcp26,World,Emissions|F-Gases|HFC|HFC143a,kt HFC143a/yr,42.9948,47.27066,51.54652,55.82238,60.09824,64.3741,65.49222,66.61034,67.72846,68.84658,69.9647,71.08282,72.20094,73.31906,74.43718,75.5553,76.3722,77.1891,78.006,78.8229,79.6398,80.4567,81.2736,82.0905,82.9074,83.7243,83.06078,82.39726,81.73374,81.07022,80.4067,79.74318,79.07966,78.41614,77.75262,77.0891,78.03953,78.98996,79.94039,80.89082,81.84125,82.79168,83.74211,84.69254,85.64297,86.5934,87.48473,88.37606,89.26739,90.15872,91.05005,91.94138,92.83271,93.72404,94.61537,95.5067,95.53701,95.56732,95.59763,95.62794,95.65825,95.68856,95.71887,95.74918,95.77949,95.8098,95.1051,94.4004,93.6957,92.991,92.2863,91.5816,90.8769,90.1722,89.4675,88.7628,87.63225,86.5017,85.37115,84.2406,83.11005,81.9795,80.84895,79.7184,78.58785,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573,77.4573
IMAGE,rcp26,World,Emissions|F-Gases|HFC|HFC227ea,kt HFC227ea/yr,5.2936,4.55644,3.81928,3.08212,2.34496,1.6078,1.52656,1.44532,1.36408,1.28284,1.2016,1.12036,1.03912,0.95788,0.87664,0.7954,0.80448,0.81356,0.82264,0.83172,0.8408,0.84988,0.85896,0.86804,0.87712,0.8862,0.82716,0.76812,0.70908,0.65004,0.591,0.53196,0.47292,0.41388,0.35484,0.2958,0.28044,0.26508,0.24972,0.23436,0.219,0.20364,0.18828,0.17292,0.15756,0.1422,0.14112,0.14004,0.13896,0.13788,0.1368,0.13572,0.13464,0.13356,0.13248,0.1314,0.1303,0.1292,0.1281,0.127,0.1259,0.1248,0.1237,0.1226,0.1215,0.1204,0.11903,0.11766,0.11629,0.11492,0.11355,0.11218,0.11081,0.10944,0.10807,0.1067,0.10515,0.1036,0.10205,0.1005,0.09895,0.0974,0.09585,0.0943,0.09275,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912,0.0912
