Model,Scenario,Region,Variable,Unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
AIM,rcp60,World,Emissions|CO2,Mt CO2/yr,34367.3,34355.42,34343.54,34331.66,34319.78,34307.9,34337.63667,34367.37333,34397.11,34426.84667,34456.58333,34486.32,34516.05667,34545.79333,34575.53,34605.26667,35119.48,35633.69333,36147.90667,36662.12,37176.33333,37690.54667,38204.76,38718.97333,39233.18667,39747.4,40385.32667,41023.25333,41661.18,42299.10667,42937.03333,43574.96,44212.88667,44850.81333,45488.74,46126.66667,46854.86667,47583.06667,48311.26667,49039.46667,49767.66667,50495.86667,51224.06667,51952.26667,52680.46667,53408.66667,54109.25667,54809.84667,55510.43667,56211.02667,56911.61667,57612.20667,58312.79667,59013.38667,59713.97667,60414.56667,60798.83333,61183.1,61567.36667,61951.63333,62335.9,62720.16667,63104.43333,63488.7,63872.96667,64257.23333,63168.56333,62079.89333,60991.22333,59902.55333,58813.88333,57725.21333,56636.54333,55547.87333,54459.20333,53370.53333,53142.87,52915.20667,52687.54333,52459.88,52232.21667,52004.55333,51776.89,51549.22667,51321.56333,51093.9,50315.39333,49536.88667,48758.38,47979.87333,47201.36667,46422.86,45644.35333,44865.84667,44087.34,43308.83333,42530.32667,41751.82,40973.31333,40194.80667,39416.3,38637.79333,37859.28667,37080.78,36302.27333,35523.76667,34745.26,33966.75333,33188.24667,32409.74,31631.23333,30879.3276,30127.42187,29375.51577,28623.61003,27871.7043,27119.79857,26367.89283,25615.9871,24864.081,24112.17527,23360.26953,22608.3638,21856.45807,21104.55233,20352.64623,19600.7405,18848.83477,18096.92903,17345.0233,16593.11757,15841.21147,15089.30573,14337.4,13081.93333,12856.06667
AIM,rcp60,World,Emissions|CO2|MAGICC AFOLU,Mt CO2/yr,2353.45,2180.713333,2007.976667,1835.24,1662.503333,1489.766667,1136.446667,783.1266667,429.8066667,76.48666667,-276.8333333,-630.1533333,-983.4733333,-1336.793333,-1690.113333,-2043.433333,-2100.926667,-2158.42,-2215.913333,-2273.406667,-2330.9,-2388.393333,-2445.886667,-2503.38,-2560.873333,-2618.366667,-2526.59,-2434.813333,-2343.036667,-2251.26,-2159.483333,-2067.706667,-1975.93,-1884.153333,-1792.376667,-1700.6,-1625.286667,-1549.973333,-1474.66,-1399.346667,-1324.033333,-1248.72,-1173.406667,-1098.093333,-1022.78,-947.4666667,-863.4633333,-779.46,-695.4566667,-611.4533333,-527.45,-443.4466667,-359.4433333,-275.44,-191.4366667,-107.4333333,-7.186666667,93.06,193.3066667,293.5533333,393.8,494.0466667,594.2933333,694.54,794.7866667,895.0333333,894.4466667,893.86,893.2733333,892.6866667,892.1,891.5133333,890.9266667,890.34,889.7533333,889.1666667,866.7633333,844.36,821.9566667,799.5533333,777.15,754.7466667,732.3433333,709.94,687.5366667,665.1333333,638.528,611.9226667,585.3173333,558.712,532.1066667,505.5013333,478.896,452.2906667,425.6853333,399.08,372.4746667,345.8693333,319.264,292.6586667,266.0533333,239.448,212.8426667,186.2373333,159.632,133.0266667,106.4213333,79.816,53.21066667,26.60533333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIM,rcp60,World,Emissions|CO2|MAGICC Fossil and Industrial,Mt CO2/yr,32013.85,32174.70667,32335.56333,32496.42,32657.27667,32818.13333,33201.19,33584.24667,33967.30333,34350.36,34733.41667,35116.47333,35499.53,35882.58667,36265.64333,36648.7,37220.40667,37792.11333,38363.82,38935.52667,39507.23333,40078.94,40650.64667,41222.35333,41794.06,42365.76667,42911.91667,43458.06667,44004.21667,44550.36667,45096.51667,45642.66667,46188.81667,46734.96667,47281.11667,47827.26667,48480.15333,49133.04,49785.92667,50438.81333,51091.7,51744.58667,52397.47333,53050.36,53703.24667,54356.13333,54972.72,55589.30667,56205.89333,56822.48,57439.06667,58055.65333,58672.24,59288.82667,59905.41333,60522,60806.02,61090.04,61374.06,61658.08,61942.1,62226.12,62510.14,62794.16,63078.18,63362.2,62274.11667,61186.03333,60097.95,59009.86667,57921.78333,56833.7,55745.61667,54657.53333,53569.45,52481.36667,52276.10667,52070.84667,51865.58667,51660.32667,51455.06667,51249.80667,51044.54667,50839.28667,50634.02667,50428.76667,49676.86533,48924.964,48173.06267,47421.16133,46669.26,45917.35867,45165.45733,44413.556,43661.65467,42909.75333,42157.852,41405.95067,40654.04933,39902.148,39150.24667,38398.34533,37646.444,36894.54267,36142.64133,35390.74,34638.83867,33886.93733,33135.036,32383.13467,31631.23333,30879.3276,30127.42187,29375.51577,28623.61003,27871.7043,27119.79857,26367.89283,25615.9871,24864.081,24112.17527,23360.26953,22608.3638,21856.45807,21104.55233,20352.64623,19600.7405,18848.83477,18096.92903,17345.0233,16593.11757,15841.21147,15089.30573,14337.4,13081.93333,12856.06667
IMAGE,rcp26,World,Emissions|CO2,Mt CO2/yr,36920.4,37060.68667,37200.97333,37341.26,37481.54667,37621.83333,36773.11,35924.38667,35075.66333,34226.94,33378.21667,32529.49333,31680.77,30832.04667,29983.32333,29134.6,28063.23667,26991.87333,25920.51,24849.14667,23777.78333,22706.42,21635.05667,20563.69333,19492.33,18420.96667,17820.69667,17220.42667,16620.15667,16019.88667,15419.61667,14819.34667,14219.07667,13618.80667,13018.53667,12418.26667,11922.38667,11426.50667,10930.62667,10434.74667,9938.866667,9442.986667,8947.106667,8451.226667,7955.346667,7459.466667,6953.283333,6447.1,5940.916667,5434.733333,4928.55,4422.366667,3916.183333,3410,2903.816667,2397.633333,2200.77,2003.906667,1807.043333,1610.18,1413.316667,1216.453333,1019.59,822.7266667,625.8633333,429,287.8333333,146.6666667,5.5,-135.6666667,-276.8333333,-418,-559.1666667,-700.3333333,-841.5,-982.6666667,-1038.216667,-1093.766667,-1149.316667,-1204.866667,-1260.416667,-1315.966667,-1371.516667,-1427.066667,-1482.616667,-1538.166667,-1613.157333,-1688.148,-1763.138667,-1838.129333,-1913.12,-1988.110667,-2063.101333,-2138.092,-2213.082667,-2288.073333,-2363.064,-2438.054667,-2513.045333,-2588.036,-2663.026667,-2738.017333,-2813.008,-2887.998667,-2962.989333,-3037.98,-3112.970667,-3187.961333,-3262.952,-3337.942667,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333
IMAGE,rcp26,World,Emissions|CO2|MAGICC AFOLU,Mt CO2/yr,3720.383333,3689.693333,3659.003333,3628.313333,3597.623333,3566.933333,3499.503333,3432.073333,3364.643333,3297.213333,3229.783333,3162.353333,3094.923333,3027.493333,2960.063333,2892.633333,2782.67,2672.706667,2562.743333,2452.78,2342.816667,2232.853333,2122.89,2012.926667,1902.963333,1793,1687.473333,1581.946667,1476.42,1370.893333,1265.366667,1159.84,1054.313333,948.7866667,843.26,737.7333333,889.5333333,1041.333333,1193.133333,1344.933333,1496.733333,1648.533333,1800.333333,1952.133333,2103.933333,2255.733333,2227.5,2199.266667,2171.033333,2142.8,2114.566667,2086.333333,2058.1,2029.866667,2001.633333,1973.4,1977.726667,1982.053333,1986.38,1990.706667,1995.033333,1999.36,2003.686667,2008.013333,2012.34,2016.666667,2035.88,2055.093333,2074.306667,2093.52,2112.733333,2131.946667,2151.16,2170.373333,2189.586667,2208.8,2175.396667,2141.993333,2108.59,2075.186667,2041.783333,2008.38,1974.976667,1941.573333,1908.17,1874.766667,1799.776,1724.785333,1649.794667,1574.804,1499.813333,1424.822667,1349.832,1274.841333,1199.850667,1124.86,1049.869333,974.8786667,899.888,824.8973333,749.9066667,674.916,599.9253333,524.9346667,449.944,374.9533333,299.9626667,224.972,149.9813333,74.99066667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMAGE,rcp26,World,Emissions|CO2|MAGICC Fossil and Industrial,Mt CO2/yr,33200.01667,33370.99333,33541.97,33712.94667,33883.92333,34054.9,33273.60667,32492.31333,31711.02,30929.72667,30148.43333,29367.14,28585.84667,27804.55333,27023.26,26241.96667,25280.56667,24319.16667,23357.76667,22396.36667,21434.96667,20473.56667,19512.16667,18550.76667,17589.36667,16627.96667,16133.22333,15638.48,15143.73667,14648.99333,14154.25,13659.50667,13164.76333,12670.02,12175.27667,11680.53333,11032.85333,10385.17333,9737.493333,9089.813333,8442.133333,7794.453333,7146.773333,6499.093333,5851.413333,5203.733333,4725.783333,4247.833333,3769.883333,3291.933333,2813.983333,2336.033333,1858.083333,1380.133333,902.1833333,424.2333333,223.0433333,21.85333333,-179.3366667,-380.5266667,-581.7166667,-782.9066667,-984.0966667,-1185.286667,-1386.476667,-1587.666667,-1748.046667,-1908.426667,-2068.806667,-2229.186667,-2389.566667,-2549.946667,-2710.326667,-2870.706667,-3031.086667,-3191.466667,-3213.613333,-3235.76,-3257.906667,-3280.053333,-3302.2,-3324.346667,-3346.493333,-3368.64,-3390.786667,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333,-3412.933333
MESSAGE,rcp85,World,Emissions|CO2,Mt CO2/yr,41091.05,41998.44,42905.83,43813.22,44720.61,45628,46401.70333,47175.40667,47949.11,48722.81333,49496.51667,50270.22,51043.92333,51817.62667,52591.33,53365.03333,54420.11667,55475.2,56530.28333,57585.36667,58640.45,59695.53333,60750.61667,61805.7,62860.78333,63915.86667,65143.83333,66371.8,67599.76667,68827.73333,70055.7,71283.66667,72511.63333,73739.6,74967.56667,76195.53333,77411.58333,78627.63333,79843.68333,81059.73333,82275.78333,83491.83333,84707.88333,85923.93333,87139.98333,88356.03333,89190.97,90025.90667,90860.84333,91695.78,92530.71667,93365.65333,94200.59,95035.52667,95870.46333,96705.4,97197.06333,97688.72667,98180.39,98672.05333,99163.71667,99655.38,100147.0433,100638.7067,101130.37,101622.0333,101921.0867,102220.14,102519.1933,102818.2467,103117.3,103416.3533,103715.4067,104014.46,104313.5133,104612.5667,104717.5433,104822.52,104927.4967,105032.4733,105137.45,105242.4267,105347.4033,105452.38,105557.3567,105662.3333,105651.04,105639.7467,105628.4533,105617.16,105605.8667,105594.5733,105583.28,105571.9867,105560.6933,105549.4,105538.1067,105526.8133,105515.52,105504.2267,105492.9333,105481.64,105470.3467,105459.0533,105447.76,105436.4667,105425.1733,105413.88,105402.5867,105391.2933,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380
MESSAGE,rcp85,World,Emissions|CO2|MAGICC AFOLU,Mt CO2/yr,3575.366667,3525.06,3474.753333,3424.446667,3374.14,3323.833333,3253.616667,3183.4,3113.183333,3042.966667,2972.75,2902.533333,2832.316667,2762.1,2691.883333,2621.666667,2596,2570.333333,2544.666667,2519,2493.333333,2467.666667,2442,2416.333333,2390.666667,2365,2339.7,2314.4,2289.1,2263.8,2238.5,2213.2,2187.9,2162.6,2137.3,2112,2084.5,2057,2029.5,2002,1974.5,1947,1919.5,1892,1864.5,1837,1804.366667,1771.733333,1739.1,1706.466667,1673.833333,1641.2,1608.566667,1575.933333,1543.3,1510.666667,1472.9,1435.133333,1397.366667,1359.6,1321.833333,1284.066667,1246.3,1208.533333,1170.766667,1133,1090.833333,1048.666667,1006.5,964.3333333,922.1666667,880,837.8333333,795.6666667,753.5,711.3333333,668.4333333,625.5333333,582.6333333,539.7333333,496.8333333,453.9333333,411.0333333,368.1333333,325.2333333,282.3333333,271.04,259.7466667,248.4533333,237.16,225.8666667,214.5733333,203.28,191.9866667,180.6933333,169.4,158.1066667,146.8133333,135.52,124.2266667,112.9333333,101.64,90.34666667,79.05333333,67.76,56.46666667,45.17333333,33.88,22.58666667,11.29333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGE,rcp85,World,Emissions|CO2|MAGICC Fossil and Industrial,Mt CO2/yr,37515.68333,38473.38,39431.07667,40388.77333,41346.47,42304.16667,43148.08667,43992.00667,44835.92667,45679.84667,46523.76667,47367.68667,48211.60667,49055.52667,49899.44667,50743.36667,51824.11667,52904.86667,53985.61667,55066.36667,56147.11667,57227.86667,58308.61667,59389.36667,60470.11667,61550.86667,62804.13333,64057.4,65310.66667,66563.93333,67817.2,69070.46667,70323.73333,71577,72830.26667,74083.53333,75327.08333,76570.63333,77814.18333,79057.73333,80301.28333,81544.83333,82788.38333,84031.93333,85275.48333,86519.03333,87386.60333,88254.17333,89121.74333,89989.31333,90856.88333,91724.45333,92592.02333,93459.59333,94327.16333,95194.73333,95724.16333,96253.59333,96783.02333,97312.45333,97841.88333,98371.31333,98900.74333,99430.17333,99959.60333,100489.0333,100830.2533,101171.4733,101512.6933,101853.9133,102195.1333,102536.3533,102877.5733,103218.7933,103560.0133,103901.2333,104049.11,104196.9867,104344.8633,104492.74,104640.6167,104788.4933,104936.37,105084.2467,105232.1233,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380,105380
MiniCAM,rcp45,World,Emissions|CO2,Mt CO2/yr,36172.21667,36426.79333,36681.37,36935.94667,37190.52333,37445.1,37796.11,38147.12,38498.13,38849.14,39200.15,39551.16,39902.17,40253.18,40604.19,40955.2,41089.80333,41224.40667,41359.01,41493.61333,41628.21667,41762.82,41897.42333,42032.02667,42166.63,42301.23333,42207.07333,42112.91333,42018.75333,41924.59333,41830.43333,41736.27333,41642.11333,41547.95333,41453.79333,41359.63333,40738.28,40116.92667,39495.57333,38874.22,38252.86667,37631.51333,37010.16,36388.80667,35767.45333,35146.1,34279.55667,33413.01333,32546.47,31679.92667,30813.38333,29946.84,29080.29667,28213.75333,27347.21,26480.66667,25368.89667,24257.12667,23145.35667,22033.58667,20921.81667,19810.04667,18698.27667,17586.50667,16474.73667,15362.96667,15373.85667,15384.74667,15395.63667,15406.52667,15417.41667,15428.30667,15439.19667,15450.08667,15460.97667,15471.86667,15482.75667,15493.64667,15504.53667,15515.42667,15526.31667,15537.20667,15548.09667,15558.98667,15569.87667,15580.76667,15162.80333,14744.84,14326.87667,13908.91333,13490.95,13072.98667,12655.02333,12237.06,11819.09667,11401.13333,11102.04333,10802.95333,10503.86333,10204.77333,9905.683333,9606.593333,9307.503333,9008.413333,8709.323333,8410.233333,8289.343333,8168.453333,8047.563333,7926.673333,7805.783333,7684.893333,7564.003333,7443.113333,7322.223333,7201.333333,7107.943333,7014.553333,6921.163333,6827.773333,6734.383333,6640.993333,6547.603333,6454.213333,6360.823333,6267.433333,6171.504167,6075.575,5979.645833,5883.716667,5787.7875,5691.858333,5595.929167,5500,5629.8,5671.6
